accuracy,previous_score,avg_time,difficulty_level,topic_accuracy,next_score,competency
75.82,71.95,52.7,2,82.88,70.94,Intermediate
41.81,36.91,58.0,1,47.06,47.43,Beginner
88.06,91.99,39.8,2,81.13,89.86,Intermediate
31.96,29.1,59.2,3,13.84,38.65,Beginner
71.74,70.62,85.6,2,100.0,84.93,Intermediate
99.0,100.0,39.4,1,97.31,91.4,Advanced
40.19,24.91,78.4,1,36.28,53.62,Beginner
48.67,59.22,85.0,1,50.03,50.97,Beginner
61.99,62.57,38.7,2,59.08,54.02,Intermediate
49.93,46.64,25.9,3,51.4,54.86,Beginner
28.99,28.27,61.0,1,44.43,38.42,Beginner
61.37,61.07,44.1,3,59.88,64.27,Intermediate
38.75,24.9,92.4,2,24.8,34.8,Beginner
69.47,81.43,55.7,2,67.53,70.93,Intermediate
41.61,41.94,39.0,3,36.04,43.14,Beginner
91.0,94.54,32.1,1,100.0,92.67,Advanced
44.33,51.95,76.8,3,58.39,55.43,Beginner
53.56,45.39,43.6,1,54.85,48.94,Beginner
76.27,80.06,55.9,2,60.93,73.93,Intermediate
35.38,33.24,74.1,3,20.67,47.09,Beginner
64.55,71.32,45.3,3,64.73,64.23,Intermediate
86.14,69.13,54.1,2,90.18,80.76,Intermediate
27.85,27.06,54.7,2,23.35,26.55,Beginner
63.69,58.87,68.7,2,57.93,68.71,Intermediate
65.2,68.66,66.8,3,58.08,71.84,Intermediate
75.64,79.4,50.6,1,75.36,71.48,Intermediate
35.26,29.6,56.3,3,6.67,42.47,Beginner
33.59,27.89,47.6,2,20.37,48.07,Beginner
70.44,69.55,25.4,2,62.91,66.96,Intermediate
65.94,58.77,60.2,2,80.43,56.95,Intermediate
65.01,71.75,92.8,2,55.24,70.54,Beginner
66.93,63.98,37.3,3,69.09,70.91,Intermediate
46.4,23.14,39.5,2,49.12,46.43,Beginner
64.65,61.65,37.6,3,80.22,73.39,Intermediate
65.86,57.55,69.5,1,81.01,71.63,Intermediate
45.71,32.66,64.0,2,45.02,36.81,Beginner
97.32,87.42,51.8,3,91.61,95.61,Advanced
69.48,70.35,36.6,2,61.51,85.82,Intermediate
36.17,46.8,56.8,2,33.28,44.78,Beginner
73.13,75.64,23.7,2,67.92,79.34,Intermediate
40.51,35.65,57.9,3,47.15,54.3,Beginner
75.74,79.39,72.4,3,80.79,79.78,Intermediate
83.17,79.5,30.0,1,90.27,87.3,Intermediate
43.59,38.03,24.3,3,58.7,54.41,Beginner
79.27,70.03,86.6,2,100.0,84.16,Intermediate
68.26,54.24,42.8,1,69.75,66.86,Intermediate
76.44,73.32,77.7,3,89.63,81.36,Intermediate
97.94,99.2,51.9,2,93.72,94.57,Advanced
55.09,54.32,51.8,3,69.31,60.76,Intermediate
44.93,41.6,63.8,1,57.66,40.32,Beginner
42.21,34.64,37.3,1,54.31,40.09,Beginner
43.68,48.55,57.6,2,44.81,46.5,Beginner
58.46,47.92,47.4,1,50.44,54.12,Beginner
66.82,73.03,28.6,3,50.09,68.45,Intermediate
65.53,57.52,61.7,1,65.05,65.31,Intermediate
76.54,70.52,49.7,2,94.94,80.83,Intermediate
60.26,48.53,51.9,1,56.54,67.13,Beginner
89.07,85.06,30.8,1,98.49,85.16,Intermediate
54.71,62.51,86.8,3,64.83,68.34,Beginner
99.0,100.0,72.5,1,95.6,100.0,Intermediate
72.51,80.34,74.3,2,88.31,77.74,Intermediate
42.86,47.03,48.9,3,7.95,50.35,Beginner
38.58,29.75,20.4,2,23.91,45.41,Beginner
69.65,67.0,94.1,3,58.66,81.2,Intermediate
55.53,49.29,53.8,1,45.69,64.43,Beginner
74.28,84.92,40.0,1,78.32,82.35,Intermediate
69.46,59.89,63.3,3,72.95,74.16,Intermediate
58.54,65.69,78.3,2,63.27,65.19,Beginner
43.06,50.21,54.5,2,50.22,55.68,Beginner
29.7,44.34,80.6,2,18.3,31.58,Beginner
51.07,47.79,76.7,2,36.45,53.07,Beginner
77.13,82.83,33.5,1,81.88,77.05,Intermediate
64.28,82.54,41.5,3,56.72,74.54,Intermediate
35.09,30.14,74.2,2,16.24,45.77,Beginner
63.46,51.18,10.0,2,75.12,65.0,Intermediate
67.71,52.67,52.0,3,84.45,63.24,Intermediate
42.32,48.02,26.4,1,61.01,46.41,Beginner
63.07,48.01,45.5,1,65.32,58.52,Intermediate
61.16,58.19,49.0,3,68.68,57.33,Intermediate
37.14,40.64,47.8,3,53.58,36.59,Beginner
67.16,68.64,44.0,2,59.46,71.74,Intermediate
71.22,74.62,33.1,1,84.54,79.68,Intermediate
81.66,83.44,100.8,1,84.97,78.36,Intermediate
81.08,91.31,92.3,2,92.04,83.86,Intermediate
32.45,24.83,31.8,2,34.68,44.95,Beginner
41.24,35.83,86.6,3,56.8,38.68,Beginner
70.3,64.12,47.0,3,72.98,77.8,Intermediate
70.28,76.92,57.6,3,52.47,74.58,Intermediate
70.3,77.5,53.7,2,87.72,76.07,Intermediate
99.0,100.0,41.8,3,87.63,98.18,Advanced
71.42,80.89,74.7,2,86.45,68.8,Intermediate
82.71,73.29,57.5,1,81.63,82.94,Intermediate
79.08,92.42,45.5,1,93.19,88.65,Intermediate
73.03,85.21,28.9,2,86.65,80.35,Intermediate
53.69,59.58,37.1,3,58.86,56.35,Intermediate
75.18,89.43,22.2,1,81.28,67.12,Intermediate
44.54,31.29,55.2,1,49.62,36.89,Beginner
55.26,51.07,31.1,3,31.1,68.74,Beginner
50.29,44.41,49.7,1,51.71,46.54,Beginner
61.64,67.41,82.4,3,48.24,64.75,Beginner
99.0,90.6,79.0,1,100.0,100.0,Intermediate
22.65,28.71,54.4,1,8.94,17.16,Beginner
73.73,84.69,53.3,3,59.51,86.78,Intermediate
27.75,33.31,92.6,1,47.0,30.0,Beginner
50.56,52.83,65.4,2,63.39,47.62,Beginner
81.78,73.88,48.4,1,81.73,79.75,Intermediate
61.29,54.51,26.5,1,63.5,58.05,Intermediate
38.45,48.44,62.9,1,35.47,44.01,Beginner
45.69,51.93,71.6,1,52.53,44.15,Beginner
73.59,73.28,42.4,1,65.48,62.23,Intermediate
45.39,42.05,60.8,3,57.32,50.44,Beginner
64.33,48.12,47.7,2,61.29,59.04,Intermediate
60.91,52.34,51.3,1,55.87,63.26,Beginner
46.97,62.26,10.0,2,47.23,44.09,Beginner
99.0,88.76,50.6,3,91.91,98.15,Advanced
72.68,74.19,74.4,3,76.62,77.96,Intermediate
19.5,27.56,42.4,2,13.05,24.66,Beginner
63.73,53.69,56.1,3,69.35,70.13,Intermediate
46.76,48.24,39.9,1,61.36,53.1,Beginner
77.05,84.55,62.2,2,68.42,71.94,Intermediate
44.15,44.25,50.7,2,42.58,48.23,Beginner
57.71,80.65,36.2,2,63.24,41.11,Intermediate
70.1,56.75,81.7,2,64.87,73.98,Intermediate
77.32,85.78,73.6,2,82.89,77.33,Intermediate
35.99,34.61,42.9,3,42.66,37.21,Beginner
53.31,59.49,65.0,3,66.31,60.94,Intermediate
50.5,54.03,65.7,2,43.23,61.5,Beginner
46.93,41.07,67.8,2,35.62,48.32,Beginner
95.31,97.14,21.1,1,91.62,88.02,Advanced
68.1,53.24,75.1,1,56.49,69.64,Beginner
34.78,39.61,43.6,2,41.56,31.99,Beginner
78.36,80.74,47.8,2,64.42,76.13,Intermediate
99.0,100.0,107.8,1,100.0,100.0,Intermediate
80.65,89.11,61.0,3,96.2,84.57,Intermediate
29.61,32.55,47.3,2,29.76,23.97,Beginner
50.32,51.5,10.9,2,60.72,43.51,Intermediate
85.34,78.29,82.8,1,65.7,85.48,Intermediate
45.85,40.15,28.1,1,76.13,53.35,Beginner
68.88,78.37,34.9,3,61.79,63.66,Intermediate
75.49,86.98,48.4,2,74.05,80.15,Intermediate
41.46,39.56,83.3,3,19.19,56.13,Beginner
58.81,59.18,70.5,3,64.64,75.43,Intermediate
5.0,0.0,51.8,2,0.0,14.59,Beginner
39.51,48.89,61.2,1,40.73,45.39,Beginner
54.95,60.27,43.0,3,48.42,47.75,Beginner
35.04,50.57,57.8,3,22.11,54.84,Beginner
92.65,85.62,56.5,2,83.0,89.78,Intermediate
31.4,28.37,74.4,3,34.11,33.28,Beginner
51.2,53.05,74.3,3,35.82,55.57,Beginner
62.61,67.79,64.9,2,53.63,74.68,Beginner
88.83,87.1,47.8,2,96.78,100.0,Intermediate
31.28,24.3,69.8,3,62.51,39.53,Beginner
83.26,90.31,53.2,2,88.99,90.59,Intermediate
60.2,65.97,33.4,1,49.2,61.65,Beginner
40.37,33.04,46.9,1,35.96,36.91,Beginner
69.24,80.09,56.7,1,69.62,78.56,Intermediate
63.98,73.34,73.2,1,59.79,61.13,Beginner
48.0,49.07,51.3,3,58.83,63.37,Beginner
61.4,62.03,30.8,1,64.01,70.28,Intermediate
52.29,56.73,56.1,1,63.19,57.79,Beginner
62.27,55.38,57.3,1,58.5,74.26,Beginner
73.24,73.48,58.7,2,89.15,88.78,Intermediate
91.72,74.5,73.4,2,89.72,91.33,Intermediate
35.24,42.26,75.4,1,23.59,33.57,Beginner
99.0,86.51,43.1,1,100.0,85.89,Advanced
20.96,32.99,42.7,1,0.0,38.75,Beginner
56.96,54.32,34.2,2,48.1,57.77,Beginner
71.77,70.07,69.0,1,64.24,78.84,Intermediate
65.62,60.6,84.0,3,95.72,65.92,Intermediate
47.55,45.24,48.7,2,69.23,60.97,Beginner
55.84,67.19,50.2,1,73.76,53.17,Beginner
50.14,30.24,84.3,2,46.17,46.98,Beginner
48.21,58.43,65.1,1,77.33,49.1,Beginner
76.99,79.7,63.7,2,81.41,75.64,Intermediate
67.14,57.48,31.2,1,78.87,71.35,Intermediate
46.14,37.54,68.6,2,48.3,50.14,Beginner
77.99,91.4,36.4,3,77.4,85.52,Intermediate
66.15,58.58,32.3,3,63.12,69.11,Intermediate
76.26,67.03,48.1,1,73.74,72.17,Intermediate
72.59,81.69,43.3,1,79.89,69.28,Intermediate
43.42,46.13,50.6,2,47.83,60.22,Beginner
48.8,41.29,26.2,3,48.42,56.24,Beginner
74.95,76.68,74.2,3,93.06,67.05,Intermediate
72.21,64.0,77.6,1,36.61,69.31,Beginner
59.58,68.39,16.1,1,65.7,61.4,Intermediate
62.35,70.84,74.6,2,70.96,76.43,Intermediate
85.55,89.81,38.8,1,99.32,90.88,Intermediate
48.17,51.06,72.1,1,47.39,44.78,Beginner
70.94,85.03,53.6,1,73.44,85.78,Intermediate
55.96,55.95,55.6,2,67.79,59.29,Intermediate
55.65,46.19,51.3,3,73.54,68.67,Intermediate
81.98,85.57,79.2,3,78.37,78.49,Intermediate
76.51,93.2,30.2,2,79.71,64.0,Intermediate
76.27,68.15,67.2,2,96.41,69.72,Intermediate
86.11,83.22,77.0,3,60.62,69.72,Intermediate
60.42,63.75,69.3,1,52.14,74.26,Beginner
73.64,73.21,101.5,2,91.23,74.04,Intermediate
53.79,45.94,44.4,2,66.91,51.94,Intermediate
66.48,75.46,74.1,1,72.75,69.88,Intermediate
57.4,75.96,52.9,2,52.01,61.94,Beginner
61.94,63.51,79.7,1,51.36,66.71,Beginner
71.9,64.67,54.8,2,64.81,81.41,Intermediate
43.64,31.24,47.2,1,62.21,44.41,Beginner
99.0,100.0,81.1,1,91.46,91.8,Intermediate
39.88,48.71,45.2,1,41.1,47.66,Beginner
35.72,39.52,26.7,3,26.67,47.67,Beginner
83.16,83.14,44.7,2,93.28,85.11,Intermediate
75.83,71.12,67.4,2,69.37,90.83,Intermediate
72.48,63.75,82.8,2,71.31,72.06,Intermediate
72.57,79.24,57.2,2,52.37,69.36,Intermediate
59.76,67.07,81.4,1,40.39,63.48,Beginner
42.05,29.69,27.8,2,42.15,42.64,Beginner
61.52,74.23,46.1,1,45.61,65.57,Beginner
46.46,51.05,49.2,1,71.72,43.74,Beginner
79.5,90.7,52.7,2,54.76,78.74,Intermediate
57.06,46.32,56.7,1,47.46,69.84,Beginner
43.49,32.56,68.8,1,43.69,43.58,Beginner
53.57,52.38,46.1,2,49.19,52.49,Beginner
68.26,72.28,57.8,2,55.01,77.82,Intermediate
48.73,63.1,54.1,2,37.23,46.52,Beginner
43.56,49.2,36.5,2,31.67,43.91,Beginner
64.87,62.93,52.7,2,61.43,71.14,Intermediate
64.9,56.69,52.1,2,88.32,73.34,Intermediate
49.86,59.7,51.7,1,50.8,59.2,Beginner
50.58,42.86,55.6,1,64.77,48.05,Beginner
64.64,77.67,56.5,2,70.72,71.05,Intermediate
31.04,28.76,46.4,1,44.4,31.76,Beginner
31.85,44.58,80.5,3,0.0,35.67,Beginner
45.63,51.06,31.6,3,41.98,59.2,Beginner
55.73,54.64,40.6,1,71.42,53.98,Beginner
66.22,62.06,110.6,1,59.36,65.59,Beginner
89.51,86.78,34.2,1,100.0,89.28,Intermediate
77.15,80.58,27.9,1,94.96,70.56,Intermediate
56.8,57.42,69.7,1,51.17,64.05,Beginner
59.62,54.87,13.5,2,53.58,66.21,Intermediate
39.95,38.62,50.3,3,27.79,34.84,Beginner
59.63,60.26,97.9,2,52.07,64.52,Beginner
54.23,37.2,24.1,1,39.44,51.25,Beginner
66.45,70.12,15.4,2,71.6,75.72,Intermediate
43.46,35.62,25.0,2,25.98,39.31,Beginner
70.39,61.16,73.0,3,77.63,72.62,Intermediate
90.65,77.16,77.5,3,98.19,95.57,Advanced
57.82,43.47,44.7,3,37.89,63.52,Beginner
68.03,57.19,68.7,2,86.63,75.17,Intermediate
73.8,68.13,82.8,2,79.97,66.79,Intermediate
51.98,67.6,90.7,1,60.97,63.73,Beginner
64.48,60.27,50.1,2,55.38,70.47,Intermediate
60.25,61.67,10.0,1,67.72,69.59,Intermediate
61.95,65.16,38.6,2,75.47,70.24,Intermediate
44.54,45.59,46.5,2,43.36,48.91,Beginner
60.49,59.87,49.8,1,84.51,53.95,Intermediate
69.96,60.4,51.2,1,70.49,66.98,Intermediate
89.02,100.0,77.4,1,100.0,97.44,Intermediate
79.19,93.64,80.5,1,82.7,87.16,Intermediate
99.0,85.54,51.6,1,100.0,93.36,Advanced
44.65,36.46,77.0,1,24.6,30.17,Beginner
77.45,75.21,62.2,1,81.9,75.97,Intermediate
63.67,55.95,56.3,1,54.85,62.85,Beginner
99.0,100.0,73.1,3,88.84,99.58,Advanced
43.83,38.01,56.4,1,64.76,49.5,Beginner
43.21,60.53,96.2,1,40.64,51.01,Beginner
48.01,57.54,26.2,2,35.97,58.11,Beginner
17.52,19.22,44.7,3,13.21,28.79,Beginner
49.48,57.7,52.5,2,33.88,42.72,Beginner
44.82,53.66,63.8,1,62.02,45.18,Beginner
63.01,58.5,80.4,2,54.66,79.79,Beginner
66.84,60.31,54.5,2,73.19,71.73,Intermediate
97.52,98.15,26.6,2,100.0,99.93,Advanced
79.01,85.9,71.9,2,73.01,82.84,Intermediate
48.46,49.57,70.1,3,54.85,57.08,Beginner
42.03,29.42,16.2,3,29.67,34.37,Beginner
69.84,63.42,54.9,2,99.19,70.81,Intermediate
33.6,33.0,23.2,2,44.83,38.68,Beginner
96.63,96.02,41.7,2,94.32,100.0,Advanced
83.59,99.37,36.9,3,74.31,87.19,Intermediate
50.62,39.53,71.2,1,49.25,42.69,Beginner
25.74,29.78,57.3,3,21.66,36.26,Beginner
87.08,98.99,29.3,1,100.0,81.29,Intermediate
57.71,75.88,72.6,2,43.0,53.79,Beginner
84.76,81.52,26.3,3,86.37,82.97,Advanced
28.11,32.04,61.6,1,27.89,35.12,Beginner
48.01,52.57,38.7,2,46.6,59.72,Beginner
60.1,61.67,47.7,1,58.8,64.19,Beginner
60.94,60.15,65.1,2,59.55,67.86,Beginner
51.0,54.49,65.4,1,61.48,55.76,Beginner
72.46,52.2,81.7,2,79.76,75.27,Intermediate
38.65,44.1,53.4,2,43.67,47.74,Beginner
57.15,58.16,61.1,3,20.74,48.07,Beginner
62.41,60.63,46.2,3,66.0,68.08,Intermediate
70.29,86.66,58.6,1,50.42,64.4,Beginner
74.23,68.83,63.8,2,81.99,83.27,Intermediate
37.51,34.28,53.0,1,55.2,39.62,Beginner
29.32,45.25,18.9,1,18.2,33.16,Beginner
85.55,78.9,61.6,1,82.41,75.68,Intermediate
66.65,62.25,62.3,3,59.45,77.42,Intermediate
45.03,43.85,41.4,3,59.86,55.19,Beginner
91.02,97.75,29.3,1,92.16,93.08,Intermediate
62.31,63.98,84.5,1,83.05,58.45,Intermediate
83.59,73.24,64.8,1,88.55,78.26,Intermediate
61.35,57.09,50.4,2,64.26,65.78,Intermediate
99.0,94.14,32.3,2,99.82,94.91,Advanced
95.11,94.49,38.6,1,100.0,96.11,Advanced
55.02,58.43,81.1,3,34.17,47.65,Beginner
79.43,82.78,57.8,1,80.46,76.15,Intermediate
72.91,58.7,44.0,3,72.07,87.86,Intermediate
87.37,95.88,65.2,2,96.08,91.02,Intermediate
40.7,42.72,38.7,2,38.45,46.45,Beginner
73.72,84.8,85.0,3,61.26,89.73,Intermediate
81.17,84.72,82.1,3,81.26,70.66,Intermediate
24.83,33.64,45.7,1,11.83,23.95,Beginner
36.33,40.07,42.4,1,13.23,37.02,Beginner
19.22,29.99,10.0,3,27.94,32.83,Beginner
54.61,58.79,25.4,1,61.56,61.5,Beginner
74.35,73.57,28.2,1,79.96,69.21,Intermediate
90.05,100.0,57.7,2,100.0,96.83,Advanced
61.48,68.59,48.5,3,53.5,64.14,Intermediate
92.57,97.16,28.1,3,75.4,100.0,Advanced
32.4,22.19,49.4,3,31.56,33.61,Beginner
25.93,15.63,65.1,2,21.76,31.12,Beginner
58.89,61.23,65.6,1,48.78,57.24,Beginner
67.68,68.85,17.0,2,66.72,76.6,Intermediate
59.35,54.43,52.4,3,52.01,61.46,Intermediate
18.65,19.78,27.3,1,0.0,22.9,Beginner
58.22,70.93,73.0,1,52.92,62.6,Beginner
33.91,39.47,70.7,1,20.27,40.47,Beginner
73.39,64.27,37.0,2,76.17,80.84,Intermediate
67.33,66.44,39.7,3,59.46,73.21,Intermediate
41.2,34.76,45.8,2,54.54,43.4,Beginner
49.72,46.62,10.0,3,68.97,53.65,Intermediate
38.82,35.51,61.7,1,46.97,41.86,Beginner
58.75,54.93,49.5,3,40.13,65.54,Beginner
79.1,69.06,74.4,3,97.17,81.89,Intermediate
40.29,39.26,33.0,1,59.19,43.18,Beginner
70.08,65.6,42.6,3,70.31,65.37,Intermediate
49.39,25.96,24.9,1,65.27,55.45,Beginner
44.14,60.57,34.9,3,37.52,51.7,Beginner
57.86,66.57,31.4,3,35.46,69.24,Beginner
39.3,36.28,74.9,3,30.17,46.15,Beginner
48.93,49.08,41.0,2,69.68,42.58,Beginner
36.04,26.67,57.5,1,18.15,37.01,Beginner
99.0,100.0,47.4,2,98.99,97.88,Advanced
60.71,75.88,29.6,2,61.11,68.31,Intermediate
46.01,47.26,51.6,3,39.85,39.9,Beginner
64.28,72.47,67.0,3,58.96,69.38,Intermediate
57.75,59.16,30.8,3,58.62,66.22,Intermediate
55.58,44.89,71.2,1,48.83,53.17,Beginner
72.28,68.99,38.0,3,55.22,76.95,Intermediate
75.15,76.21,45.3,3,77.73,75.38,Intermediate
49.39,45.75,65.6,3,62.27,51.06,Beginner
48.48,46.73,41.7,1,58.92,48.15,Beginner
54.5,53.77,55.8,1,44.78,51.87,Beginner
13.96,13.31,48.7,1,0.0,22.95,Beginner
29.7,30.11,57.6,2,26.29,30.91,Beginner
87.34,78.85,10.0,2,100.0,82.93,Advanced
92.9,87.16,18.4,3,100.0,100.0,Advanced
55.02,44.74,67.3,2,63.47,64.38,Beginner
71.53,79.35,75.7,1,82.21,60.64,Intermediate
66.23,49.38,36.8,2,71.27,64.34,Intermediate
99.0,100.0,50.1,3,100.0,100.0,Advanced
82.39,93.48,60.9,3,90.34,87.74,Intermediate
57.44,55.02,68.9,3,50.89,53.9,Beginner
40.89,20.06,14.4,2,23.92,52.57,Beginner
27.87,24.98,37.3,2,36.55,38.59,Beginner
64.07,63.56,48.3,3,78.92,71.84,Intermediate
44.87,36.79,69.1,2,31.45,57.42,Beginner
31.55,27.43,105.0,1,41.42,34.74,Beginner
47.07,59.31,50.4,1,67.24,51.99,Beginner
38.37,43.69,26.9,1,38.34,50.65,Beginner
93.74,86.35,63.0,2,83.93,100.0,Intermediate
77.63,64.85,81.4,1,79.11,72.37,Intermediate
59.84,57.22,57.2,1,53.23,64.85,Beginner
89.6,87.89,36.9,1,82.2,84.45,Intermediate
61.55,65.52,74.2,2,66.75,67.65,Intermediate
42.77,38.49,68.3,2,23.53,50.21,Beginner
90.46,94.55,34.5,2,73.14,82.92,Intermediate
70.78,86.26,62.6,1,71.01,70.38,Intermediate
39.26,45.78,74.9,1,38.99,43.71,Beginner
56.19,55.81,78.6,2,60.32,57.08,Beginner
42.49,41.02,53.7,1,64.99,46.98,Beginner
32.34,29.49,47.8,1,33.6,40.59,Beginner
78.52,87.97,79.5,1,85.7,78.06,Intermediate
98.19,93.17,30.8,3,86.48,100.0,Advanced
32.03,32.39,63.8,2,41.24,45.77,Beginner
71.26,71.67,27.6,1,64.94,74.4,Intermediate
46.99,42.97,76.3,1,47.84,50.43,Beginner
50.26,39.28,49.8,3,48.95,50.49,Beginner
48.15,50.74,80.4,2,60.55,56.33,Beginner
